@relation 'datasets_45152_82501_insurance_claims-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R3-4,18,24-25-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 10'

@attribute incident_severity {'Major Damage','Minor Damage','Total Loss','Trivial Damage'}
@attribute insured_hobbies {sleeping,reading,board-games,bungie-jumping,base-jumping,golf,camping,dancing,skydiving,movies,hiking,yachting,paintball,chess,kayaking,polo,basketball,video-games,cross-fit,exercise}
@attribute auto_model {92x,E400,RAM,Tahoe,RSX,95,Pathfinder,A5,Camry,F150,A3,Highlander,Neon,MDX,Maxima,Legacy,TL,Impreza,Forrestor,Escape,Corolla,'3 Series',C300,Wrangler,M5,X5,Civic,Passat,Silverado,CRV,93,Accord,X6,Malibu,Fusion,Jetta,ML350,Ultima,'Grand Cherokee'}
@attribute vehicle_claim numeric
@attribute total_claim_amount numeric
@attribute incident_type {'Single Vehicle Collision','Vehicle Theft','Multi-vehicle Collision','Parked Car'}
@attribute authorities_contacted {Police,None,Fire,Other,Ambulance}
@attribute property_claim numeric
@attribute injury_claim numeric
@attribute insured_occupation {craft-repair,machine-op-inspct,sales,armed-forces,tech-support,prof-specialty,other-service,priv-house-serv,exec-managerial,protective-serv,transport-moving,handlers-cleaners,adm-clerical,farming-fishing}
@attribute fraud_reported {Y,N}

@data
'Total Loss',dancing,A3,38010,59730,'Multi-vehicle Collision',Police,10860,10860,transport-moving,N
'Minor Damage',kayaking,95,5580,8060,'Vehicle Theft',None,1240,1240,other-service,N
'Major Damage',polo,M5,50540,72200,'Single Vehicle Collision',Fire,7220,14440,handlers-cleaners,Y
'Minor Damage',paintball,MDX,30480,50800,'Multi-vehicle Collision',Ambulance,10160,10160,exec-managerial,N
'Trivial Damage',video-games,TL,4620,6600,'Vehicle Theft',None,1320,660,exec-managerial,N
'Minor Damage',bungie-jumping,Maxima,5250,7500,'Vehicle Theft',Police,1500,750,other-service,N
'Trivial Damage',video-games,Jetta,4130,6490,'Vehicle Theft',None,1180,1180,exec-managerial,N
'Major Damage',movies,A3,44320,60940,'Multi-vehicle Collision',Ambulance,11080,5540,prof-specialty,Y
'Major Damage',board-games,Legacy,40810,58300,'Multi-vehicle Collision',Fire,11660,5830,transport-moving,N
'Minor Damage',yachting,F150,45600,68400,'Multi-vehicle Collision',Other,11400,11400,priv-house-serv,N
'Total Loss',yachting,'3 Series',40880,64240,'Single Vehicle Collision',Fire,11680,11680,other-service,N
'Trivial Damage',kayaking,Neon,3290,4700,'Parked Car',None,470,940,prof-specialty,N
'Major Damage',exercise,MDX,39480,45120,'Multi-vehicle Collision',Other,5640,0,exec-managerial,Y
'Total Loss',board-games,93,46350,66950,'Multi-vehicle Collision',Fire,10300,10300,sales,N
'Major Damage',exercise,Accord,71520,98340,'Single Vehicle Collision',Police,17880,8940,tech-support,Y
'Trivial Damage',yachting,X5,4720,5900,'Parked Car',None,590,590,farming-fishing,N
'Major Damage',exercise,Fusion,53010,70680,'Multi-vehicle Collision',Ambulance,11780,5890,exec-managerial,N
'Total Loss',hiking,ML350,68160,93720,'Multi-vehicle Collision',Ambulance,8520,17040,machine-op-inspct,N
'Minor Damage',exercise,Highlander,5040,6930,'Vehicle Theft',None,630,1260,armed-forces,N
'Major Damage',hiking,RAM,59670,72930,'Single Vehicle Collision',Fire,6630,6630,protective-serv,Y
'Minor Damage',skydiving,Pathfinder,50470,64890,'Multi-vehicle Collision',Other,7210,7210,farming-fishing,Y
'Trivial Damage',kayaking,95,3600,5400,'Parked Car',None,900,900,machine-op-inspct,N
'Trivial Damage',reading,A3,4200,5600,'Vehicle Theft',None,700,700,exec-managerial,N
'Minor Damage',yachting,92x,47580,79300,'Single Vehicle Collision',Police,15860,15860,protective-serv,N
'Major Damage',exercise,95,36960,52800,'Single Vehicle Collision',Police,5280,10560,tech-support,N
'Minor Damage',bungie-jumping,Fusion,25200,28800,'Multi-vehicle Collision',Fire,3600,0,prof-specialty,N
'Minor Damage',kayaking,Highlander,2310,2970,'Parked Car',Police,330,330,tech-support,N
'Total Loss',basketball,Malibu,70110,93480,'Multi-vehicle Collision',Police,7790,15580,other-service,N
'Minor Damage',kayaking,E400,3360,4320,'Vehicle Theft',None,480,480,prof-specialty,N
'Major Damage',basketball,95,53200,79800,'Multi-vehicle Collision',Police,19950,6650,prof-specialty,Y
'Major Damage',camping,Passat,51940,74200,'Multi-vehicle Collision',Ambulance,14840,7420,handlers-cleaners,N
'Major Damage',basketball,93,48870,70590,'Single Vehicle Collision',Fire,10860,10860,machine-op-inspct,Y
'Major Damage',chess,Ultima,44320,60940,'Multi-vehicle Collision',Fire,11080,5540,sales,Y
'Minor Damage',video-games,RAM,52290,74700,'Single Vehicle Collision',Police,14940,7470,prof-specialty,N
'Major Damage',dancing,F150,49000,70000,'Single Vehicle Collision',Fire,7000,14000,craft-repair,Y
'Total Loss',polo,X5,51590,81070,'Multi-vehicle Collision',Other,14740,14740,exec-managerial,N
'Major Damage',camping,93,33670,57720,'Multi-vehicle Collision',Other,9620,14430,protective-serv,N
'Minor Damage',reading,F150,4720,7080,'Vehicle Theft',None,1180,1180,armed-forces,N
'Total Loss',hiking,MDX,33390,47700,'Multi-vehicle Collision',Other,9540,4770,machine-op-inspct,Y
'Minor Damage',bungie-jumping,Legacy,32620,51260,'Single Vehicle Collision',Police,9320,9320,machine-op-inspct,N
'Major Damage',exercise,Highlander,51200,70400,'Multi-vehicle Collision',Police,12800,6400,exec-managerial,Y
'Minor Damage',yachting,Fusion,63000,90000,'Single Vehicle Collision',Fire,9000,18000,transport-moving,N
'Minor Damage',camping,'3 Series',52960,72820,'Multi-vehicle Collision',Police,6620,13240,adm-clerical,N
'Minor Damage',board-games,Passat,41580,69300,'Single Vehicle Collision',Fire,13860,13860,priv-house-serv,N
'Major Damage',video-games,Fusion,51040,76560,'Single Vehicle Collision',Ambulance,12760,12760,other-service,Y
'Major Damage',skydiving,Maxima,49280,55440,'Single Vehicle Collision',Ambulance,6160,0,other-service,Y
'Total Loss',movies,MDX,51420,77130,'Multi-vehicle Collision',Other,17140,8570,prof-specialty,N
'Total Loss',paintball,X5,28000,42000,'Single Vehicle Collision',Ambulance,7000,7000,prof-specialty,N
'Total Loss',dancing,Escape,23100,36300,'Multi-vehicle Collision',Ambulance,9900,3300,craft-repair,N
'Total Loss',video-games,Impreza,28800,40320,'Single Vehicle Collision',Other,5760,5760,protective-serv,N
'Minor Damage',exercise,M5,2970,3960,'Parked Car',Police,660,330,tech-support,N
'Major Damage',basketball,X5,42560,63840,'Single Vehicle Collision',Fire,10640,10640,farming-fishing,Y
'Major Damage',sleeping,92x,34790,44730,'Multi-vehicle Collision',Fire,4970,4970,sales,Y
'Minor Damage',camping,Escape,56480,84720,'Multi-vehicle Collision',Other,14120,14120,machine-op-inspct,N
'Major Damage',paintball,RAM,43050,61500,'Multi-vehicle Collision',Other,12300,6150,adm-clerical,N
'Major Damage',exercise,Pathfinder,34000,51000,'Multi-vehicle Collision',Ambulance,8500,8500,tech-support,N
'Total Loss',skydiving,Wrangler,32760,46800,'Single Vehicle Collision',Police,9360,4680,machine-op-inspct,N
'Minor Damage',basketball,'3 Series',52080,78120,'Single Vehicle Collision',Ambulance,8680,17360,exec-managerial,N
'Major Damage',yachting,Passat,48440,69200,'Single Vehicle Collision',Police,6920,13840,exec-managerial,Y
'Minor Damage',exercise,Escape,2870,3690,'Vehicle Theft',Police,410,410,sales,N
'Minor Damage',golf,X5,52400,65500,'Multi-vehicle Collision',Fire,6550,6550,tech-support,N
'Minor Damage',basketball,Camry,55360,76120,'Multi-vehicle Collision',Fire,6920,13840,prof-specialty,N
'Total Loss',hiking,X5,49040,73560,'Multi-vehicle Collision',Other,12260,12260,other-service,N
'Total Loss',camping,E400,37840,52030,'Single Vehicle Collision',Police,4730,9460,machine-op-inspct,N
'Trivial Damage',video-games,Forrestor,3760,5170,'Vehicle Theft',None,940,470,transport-moving,N
'Minor Damage',video-games,Silverado,5040,8190,'Parked Car',None,1260,1890,machine-op-inspct,N
'Major Damage',yachting,MDX,49560,70800,'Single Vehicle Collision',Ambulance,14160,7080,exec-managerial,Y
'Total Loss',video-games,MDX,35490,45630,'Multi-vehicle Collision',Police,5070,5070,farming-fishing,N
'Major Damage',cross-fit,TL,76400,99320,'Single Vehicle Collision',Police,15280,7640,exec-managerial,Y
'Major Damage',polo,X6,44800,64000,'Multi-vehicle Collision',Fire,6400,12800,tech-support,Y
'Minor Damage',golf,Pathfinder,37840,47300,'Single Vehicle Collision',Fire,4730,4730,other-service,N
'Major Damage',reading,Jetta,53760,71680,'Single Vehicle Collision',Other,8960,8960,adm-clerical,Y
'Major Damage',skydiving,Impreza,77760,112320,'Single Vehicle Collision',Other,17280,17280,craft-repair,Y
'Total Loss',base-jumping,A3,60160,82720,'Single Vehicle Collision',Other,15040,7520,farming-fishing,N
'Major Damage',polo,C300,32040,48060,'Multi-vehicle Collision',Fire,5340,10680,priv-house-serv,N
'Total Loss',kayaking,Jetta,44010,63570,'Multi-vehicle Collision',Police,9780,9780,exec-managerial,Y
'Total Loss',paintball,Forrestor,42160,63240,'Multi-vehicle Collision',Fire,10540,10540,craft-repair,N
'Minor Damage',reading,93,36160,54240,'Multi-vehicle Collision',Ambulance,9040,9040,other-service,Y
'Major Damage',bungie-jumping,A5,37280,37280,'Single Vehicle Collision',Police,0,0,sales,Y
'Minor Damage',exercise,Wrangler,50470,72100,'Multi-vehicle Collision',Police,14420,7210,exec-managerial,N
'Minor Damage',hiking,92x,4550,6500,'Parked Car',None,650,1300,prof-specialty,N
'Total Loss',movies,Legacy,52160,78240,'Multi-vehicle Collision',Ambulance,13040,13040,machine-op-inspct,N
'Minor Damage',video-games,Accord,4340,6200,'Vehicle Theft',Police,620,1240,transport-moving,N
'Minor Damage',reading,E400,3920,6160,'Parked Car',Police,1680,560,priv-house-serv,N
'Total Loss',dancing,Silverado,52650,76050,'Single Vehicle Collision',Ambulance,11700,11700,farming-fishing,N
'Total Loss',polo,Passat,59580,86060,'Multi-vehicle Collision',Ambulance,13240,13240,exec-managerial,N
'Major Damage',sleeping,Neon,75530,107900,'Single Vehicle Collision',Fire,21580,10790,prof-specialty,Y
'Total Loss',polo,E400,63630,99990,'Multi-vehicle Collision',Fire,18180,18180,prof-specialty,N
'Minor Damage',bungie-jumping,Legacy,44640,61380,'Multi-vehicle Collision',Ambulance,5580,11160,armed-forces,N
'Major Damage',board-games,A5,45360,71280,'Single Vehicle Collision',Fire,12960,12960,craft-repair,Y
'Minor Damage',yachting,95,44800,64000,'Multi-vehicle Collision',Ambulance,6400,12800,farming-fishing,N
'Trivial Damage',bungie-jumping,Highlander,4620,5940,'Parked Car',Police,660,660,machine-op-inspct,N
'Minor Damage',movies,Wrangler,5360,6700,'Parked Car',None,670,670,other-service,N
'Minor Damage',hiking,Wrangler,31840,51740,'Multi-vehicle Collision',Police,7960,11940,armed-forces,N
'Total Loss',hiking,Jetta,40200,53600,'Single Vehicle Collision',Ambulance,6700,6700,machine-op-inspct,Y
'Total Loss',board-games,Neon,34930,44910,'Multi-vehicle Collision',Other,4990,4990,protective-serv,N
'Major Damage',kayaking,Jetta,29600,48100,'Multi-vehicle Collision',Fire,7400,11100,transport-moving,N
'Trivial Damage',kayaking,Fusion,4270,6100,'Vehicle Theft',None,1220,610,farming-fishing,N
'Minor Damage',board-games,Wrangler,47760,79600,'Single Vehicle Collision',Other,15920,15920,tech-support,N
'Minor Damage',dancing,Civic,59920,77040,'Single Vehicle Collision',Ambulance,8560,8560,protective-serv,N
'Minor Damage',kayaking,Jetta,39830,62590,'Single Vehicle Collision',Fire,11380,11380,prof-specialty,N
'Total Loss',skydiving,Malibu,58950,85150,'Single Vehicle Collision',Other,13100,13100,armed-forces,N
'Trivial Damage',exercise,Silverado,3600,4950,'Vehicle Theft',None,900,450,tech-support,N
'Major Damage',basketball,A3,35770,51100,'Multi-vehicle Collision',Fire,5110,10220,handlers-cleaners,N
'Minor Damage',reading,Neon,67200,100800,'Single Vehicle Collision',Police,16800,16800,adm-clerical,N
'Total Loss',exercise,RSX,57890,90970,'Single Vehicle Collision',Police,16540,16540,tech-support,N
'Minor Damage',cross-fit,Malibu,59520,81840,'Single Vehicle Collision',Police,7440,14880,tech-support,Y
'Major Damage',sleeping,C300,43920,54900,'Single Vehicle Collision',Ambulance,5490,5490,craft-repair,N
'Total Loss',cross-fit,C300,64480,88660,'Single Vehicle Collision',Fire,16120,8060,tech-support,Y
'Total Loss',bungie-jumping,A3,13500,18000,'Multi-vehicle Collision',Ambulance,2250,2250,tech-support,N
'Minor Damage',exercise,Tahoe,3850,5500,'Vehicle Theft',Police,550,1100,protective-serv,N
'Major Damage',hiking,Civic,53760,73920,'Multi-vehicle Collision',Other,6720,13440,tech-support,Y
'Total Loss',polo,CRV,64820,101860,'Single Vehicle Collision',Ambulance,18520,18520,adm-clerical,N
'Minor Damage',movies,Passat,3430,5390,'Parked Car',None,980,980,tech-support,N
'Minor Damage',hiking,Maxima,39270,50490,'Single Vehicle Collision',Police,5610,5610,farming-fishing,N
'Total Loss',basketball,C300,38850,55500,'Single Vehicle Collision',Police,11100,5550,handlers-cleaners,N
'Minor Damage',hiking,Maxima,5120,7040,'Vehicle Theft',Police,640,1280,other-service,N
'Total Loss',basketball,Tahoe,35140,40160,'Multi-vehicle Collision',Other,0,5020,farming-fishing,N
'Total Loss',bungie-jumping,95,41760,55680,'Multi-vehicle Collision',Fire,6960,6960,handlers-cleaners,N
'Trivial Damage',skydiving,'Grand Cherokee',4240,5300,'Vehicle Theft',Police,530,530,armed-forces,Y
'Trivial Damage',camping,MDX,3900,5200,'Parked Car',None,650,650,adm-clerical,N
'Major Damage',bungie-jumping,Civic,41580,59400,'Single Vehicle Collision',Ambulance,11880,5940,armed-forces,N
'Minor Damage',paintball,'3 Series',1960,2520,'Vehicle Theft',Police,280,280,sales,N
'Trivial Damage',golf,Impreza,3840,5760,'Vehicle Theft',Police,960,960,craft-repair,N
'Minor Damage',base-jumping,Legacy,61360,76700,'Single Vehicle Collision',Fire,7670,7670,transport-moving,N
'Trivial Damage',board-games,Malibu,4440,5920,'Parked Car',Police,740,740,protective-serv,N
'Major Damage',paintball,Tahoe,50050,64350,'Multi-vehicle Collision',Fire,7150,7150,machine-op-inspct,N
'Total Loss',kayaking,93,12720,19080,'Multi-vehicle Collision',Ambulance,2120,4240,sales,N
'Minor Damage',exercise,M5,43520,54400,'Single Vehicle Collision',Police,5440,5440,tech-support,N
'Total Loss',chess,F150,47840,59800,'Single Vehicle Collision',Fire,5980,5980,sales,Y
'Major Damage',golf,A3,57600,72000,'Multi-vehicle Collision',Police,7200,7200,handlers-cleaners,N
'Total Loss',hiking,C300,43380,65070,'Multi-vehicle Collision',Police,14460,7230,adm-clerical,N
'Trivial Damage',reading,Legacy,6160,8800,'Parked Car',Police,880,1760,sales,N
'Minor Damage',movies,Corolla,4080,6120,'Vehicle Theft',Police,1020,1020,handlers-cleaners,N
'Trivial Damage',skydiving,RAM,5310,7080,'Vehicle Theft',None,590,1180,priv-house-serv,N
'Minor Damage',yachting,Passat,21450,34320,'Multi-vehicle Collision',Ambulance,4290,8580,sales,N
'Major Damage',reading,Neon,34020,53460,'Multi-vehicle Collision',Other,9720,9720,prof-specialty,Y
'Total Loss',cross-fit,Legacy,61020,81360,'Single Vehicle Collision',Other,13560,6780,exec-managerial,Y
'Minor Damage',bungie-jumping,A3,58960,81070,'Multi-vehicle Collision',Ambulance,14740,7370,craft-repair,Y
'Minor Damage',base-jumping,A5,47340,63120,'Single Vehicle Collision',Fire,10520,5260,machine-op-inspct,N
'Trivial Damage',yachting,X5,5040,7200,'Vehicle Theft',None,720,1440,transport-moving,N
'Total Loss',exercise,92x,51120,70290,'Single Vehicle Collision',Other,6390,12780,prof-specialty,Y
'Minor Damage',camping,X6,41670,60190,'Multi-vehicle Collision',Fire,9260,9260,priv-house-serv,N
'Major Damage',base-jumping,Civic,44640,61380,'Single Vehicle Collision',Other,5580,11160,farming-fishing,Y
'Minor Damage',exercise,'Grand Cherokee',19670,28100,'Single Vehicle Collision',Ambulance,5620,2810,other-service,N
'Total Loss',yachting,Silverado,31220,49060,'Single Vehicle Collision',Fire,8920,8920,sales,N
'Total Loss',board-games,E400,44380,57060,'Multi-vehicle Collision',Fire,6340,6340,sales,N
'Major Damage',kayaking,MDX,51920,77880,'Multi-vehicle Collision',Fire,12980,12980,tech-support,N
'Total Loss',basketball,Wrangler,51450,73500,'Single Vehicle Collision',Ambulance,14700,7350,exec-managerial,N
'Minor Damage',paintball,RSX,68400,88920,'Multi-vehicle Collision',Other,13680,6840,other-service,N
'Major Damage',bungie-jumping,Corolla,30310,47630,'Single Vehicle Collision',Other,4330,12990,prof-specialty,Y
'Total Loss',kayaking,93,45920,59040,'Multi-vehicle Collision',Fire,6560,6560,craft-repair,N
'Minor Damage',dancing,MDX,57840,79530,'Single Vehicle Collision',Other,7230,14460,farming-fishing,N
'Total Loss',base-jumping,CRV,43920,53680,'Single Vehicle Collision',Other,4880,4880,machine-op-inspct,N
'Minor Damage',dancing,Passat,24400,33550,'Single Vehicle Collision',Police,6100,3050,prof-specialty,N
'Total Loss',exercise,Highlander,55280,69100,'Multi-vehicle Collision',Other,6910,6910,machine-op-inspct,N
'Major Damage',paintball,Pathfinder,50750,79750,'Multi-vehicle Collision',Police,14500,14500,handlers-cleaners,N
'Major Damage',polo,A5,37520,53600,'Multi-vehicle Collision',Other,10720,5360,farming-fishing,Y
'Minor Damage',kayaking,Ultima,57420,76560,'Multi-vehicle Collision',Fire,6380,12760,transport-moving,N
'Total Loss',golf,RAM,31990,41130,'Single Vehicle Collision',Fire,4570,4570,craft-repair,N
'Total Loss',cross-fit,A3,57200,78650,'Multi-vehicle Collision',Fire,7150,14300,sales,Y
'Major Damage',reading,92x,51680,71060,'Single Vehicle Collision',Other,12920,6460,farming-fishing,N
'Minor Damage',dancing,Legacy,31770,38830,'Single Vehicle Collision',Fire,3530,3530,farming-fishing,N
'Major Damage',cross-fit,92x,42800,53500,'Single Vehicle Collision',Fire,5350,5350,armed-forces,N
